nombre,distrito,precio,rating,checkin,plan
Posada del León de Oro Boutique Hotel,Centro,508,Fantástico,2023-06-09,2 dias
Catalonia Plaza Mayor,Centro,600,Fabuloso,2023-06-09,2 dias
NH Collection Madrid Palacio de Tepa,Centro,719,Fabuloso,2023-06-09,2 dias
Hotel Mirador de Chamartín,Chamartín,337,Muy bien,2023-06-09,2 dias
Petit Palace Chueca,Centro,558,Fabuloso,2023-06-09,2 dias
AC Hotel Cuzco by Marriott,Otro,440,Fabuloso,2023-06-09,2 dias
One Shot Luchana 22,Otro,465,Muy bien,2023-06-09,2 dias
Vincci Capitol,Centro,572,Fabuloso,2023-06-09,2 dias
Elba Madrid Alcalá,San Blas,421,Fabuloso,2023-06-09,2 dias
NH Madrid Lagasca,Salamanca,629,Muy bien,2023-06-09,2 dias
Petit Palace Alcalá,Centro,590,Muy bien,2023-06-09,2 dias
Líbere Madrid Palacio Real,Centro,704,Muy bien,2023-06-09,2 dias
limehome Madrid Calle de la Madera - Digital Access,Centro,521,Muy bien,2023-06-09,2 dias
NH Collection Madrid Eurobuilding,Chamartín,486,Fabuloso,2023-06-09,2 dias
NH Collection Madrid Paseo del Prado,Centro,686,Muy bien,2023-06-09,2 dias
Casón del Tormes,Centro,474,Fabuloso,2023-06-09,2 dias
Hotel Life Gran Via,Centro,502,Bien,2023-06-09,2 dias
Studios Cielo Madrid,Carabanchel,369,Fabuloso,2023-06-09,2 dias
Room Mate Macarena – Gran Vía,Centro,688,Fabuloso,2023-06-09,2 dias
Hotel Atlántico,Centro,553,Fantástico,2023-06-09,2 dias
Petit Palace Cliper-Gran Vía,Centro,547,Muy bien,2023-06-09,2 dias
DoubleTree by Hilton Madrid-Prado,Centro,657,Fabuloso,2023-06-09,2 dias
ARTIEM Madrid,Ciudad Lineal,398,Fantástico,2023-06-09,2 dias
Regente Hotel,Centro,506,Muy bien,2023-06-09,2 dias
Exe Zarzuela Park,Moncloa,513,Muy bien,2023-06-09,2 dias
Rafaelhoteles Atocha,Arganzuela,434,Muy bien,2023-06-09,2 dias
Petit Palace Triball,Centro,558,Fabuloso,2023-06-09,2 dias
Rafaelhoteles Ventas,Ciudad Lineal,371,Bien,2023-06-09,2 dias
Eurostars Madrid Gran Vía,Centro,555,Fabuloso,2023-06-09,2 dias
Sercotel Gran Hotel Conde Duque,Otro,485,Muy bien,2023-06-09,2 dias
Barceló Imagine,Chamartín,405,Fantástico,2023-06-09,2 dias
Hyatt Regency Hesperia Madrid,Otro,700,Muy bien,2023-06-09,2 dias
"Hotel Indigo Madrid - Princesa, an IHG Hotel",Moncloa,640,Muy bien,2023-06-09,2 dias
UMusic Hotel Madrid,Centro,627,Fabuloso,2023-06-09,2 dias
"Hotel Madrid Chamartín, Affiliated by Meliá",Chamartín,584,Muy bien,2023-06-09,2 dias
Anaco,Centro,360,No disponible,2023-06-09,2 dias
Palacio de los Duques Gran Meliá - The Leading Hotels of the World,Centro,100,Fantástico,2023-06-09,2 dias
Novotel Madrid Center,Salamanca,494,Fabuloso,2023-06-09,2 dias
Urban Sea Hotel Atocha 113,Centro,440,Bien,2023-06-09,2 dias
Soho Boutique Opera,Centro,570,Fabuloso,2023-06-09,2 dias
Ocean Drive Madrid,Centro,600,Fabuloso,2023-06-09,2 dias
L&H Gran Vía Selection,Centro,554,Fantástico,2023-06-09,2 dias
Mercure Madrid Centro,Centro,578,Muy bien,2023-06-09,2 dias
Agora Juan de Austria,Otro,578,Muy bien,2023-06-09,2 dias
Rafaelhoteles Piramides,Arganzuela,406,Muy bien,2023-06-09,2 dias
Barceló Emperatriz,Salamanca,580,Fabuloso,2023-06-09,2 dias
Compostela Suites,San Blas,306,Bien,2023-06-09,2 dias
B&B HOTEL Madrid Centro Fuencarral 52,Centro,485,Fabuloso,2023-06-09,2 dias
Only YOU Hotel Atocha,Retiro,598,Fantástico,2023-06-09,2 dias
Sercotel Madrid Aeropuerto,Barajas,356,Muy bien,2023-06-09,2 dias
"InterContinental Madrid, an IHG Hotel",Otro,743,Muy bien,2023-06-09,2 dias
INNSIDE by Meliá Madrid Gran Vía,Centro,668,Fabuloso,2023-06-09,2 dias
Melia Madrid Serrano,Salamanca,980,Muy bien,2023-06-09,2 dias
AC Hotel Carlton Madrid by Marriott,Arganzuela,495,Muy bien,2023-06-09,2 dias
Madrid Marriott Auditorium Hotel & Conference Center,San Blas,537,Fabuloso,2023-06-09,2 dias
Principe Pio,Moncloa,431,Fabuloso,2023-06-09,2 dias
La Quinta de los Cedros,Ciudad Lineal,338,Fabuloso,2023-06-09,2 dias
AC Hotel Recoletos by Marriott,Salamanca,660,Fabuloso,2023-06-09,2 dias
Vincci Soho,Centro,572,Fabuloso,2023-06-09,2 dias
Posada del Dragón Boutique Hotel,Centro,418,Muy bien,2023-06-09,2 dias
Catalonia Las Cortes,Centro,740,Fantástico,2023-06-09,2 dias
Catalonia El Retiro,Retiro,570,Muy bien,2023-06-09,2 dias
Hospes Puerta de Alcalá,Salamanca,675,Fabuloso,2023-06-09,2 dias
Ilunion Suites Madrid,Chamartín,506,Muy bien,2023-06-09,2 dias
Sercotel Alcalá 611,San Blas,480,Muy bien,2023-06-09,2 dias
Hotel Best Osuna,Hortaleza,374,Bien,2023-06-09,2 dias
Emperador,Centro,704,Fabuloso,2023-06-09,2 dias
Senator Castellana,Otro,412,Muy bien,2023-06-09,2 dias
Melia Avenida de America,San Blas,612,Fantástico,2023-06-09,2 dias
limehome Madrid Calle de Fomento - Digital Access,Centro,631,Fabuloso,2023-06-09,2 dias
Aparthotel Tribunal,Centro,480,Bien,2023-06-09,2 dias
SmartRental Collection Gran Vía Capital,Centro,722,Fabuloso,2023-06-09,2 dias
limehome Madrid Calle Ave María - Digital Access,Centro,534,Fabuloso,2023-06-09,2 dias
Hotel Julia,San Blas,430,Muy bien,2023-06-09,2 dias
limehome Madrid Calle de Don Ramón de la Cruz,Salamanca,546,Fabuloso,2023-06-09,2 dias
Porcel Torre Garden,Ciudad Lineal,370,Muy bien,2023-06-09,2 dias
Hotel Princesa Plaza Madrid,Centro,590,Muy bien,2023-06-09,2 dias
Travelodge Torrelaguna,Ciudad Lineal,343,Bien,2023-06-09,2 dias
NH Madrid Ribera del Manzanares,Arganzuela,459,Muy bien,2023-06-09,2 dias
Novotel Campo De Las Naciones,Barajas,515,Muy bien,2023-06-09,2 dias
Hotel Suites Feria de Madrid,Hortaleza,391,Bien,2023-06-09,2 dias
Apartosuites Jardines de Sabatini,Moncloa,598,Fantástico,2023-06-09,2 dias
numa I Script,Centro,443,Bien,2023-06-09,2 dias
Smartrental Collection Gran Vía Centric,Centro,720,Fabuloso,2023-06-09,2 dias
"The Westin Palace, Madrid",Centro,968,Muy bien,2023-06-09,2 dias
Akeah Hotel Gran Vía Adults Only,Centro,552,Muy bien,2023-06-09,2 dias
Petit Palace Puerta del Sol,Centro,568,Fabuloso,2023-06-09,2 dias
Gran Versalles,Otro,503,Muy bien,2023-06-09,2 dias
The First One Madrid Preciados,Centro,968,Fabuloso,2023-06-09,2 dias
Sterling,Centro,445,Muy bien,2023-06-09,2 dias
BLESS Hotel Madrid - The Leading Hotels of the World,Salamanca,124,Fantástico,2023-06-09,2 dias
Travelodge Madrid Alcalá,San Blas,362,Bien,2023-06-09,2 dias
Hotel Glam,Centro,930,Fabuloso,2023-06-09,2 dias
Vincci Centrum,Centro,550,Muy bien,2023-06-09,2 dias
Madrisol,Centro,749,Bien,2023-06-09,2 dias
"Hotel Madrid Gran Via 25, Affiliated by Meliá",Centro,613,Muy bien,2023-06-09,2 dias
The Madrid EDITION,Centro,148,Fantástico,2023-06-09,2 dias
Eurostars Casa de la Lírica,Centro,500,Muy bien,2023-06-09,2 dias
Hotel Moderno Puerta del Sol,Centro,633,Fabuloso,2023-06-09,2 dias
Vincci The Mint,Centro,616,Fantástico,2023-06-09,2 dias
Catalonia Puerta del Sol,Centro,700,Fantástico,2023-06-09,2 dias
Petit Palace Plaza Mayor,Centro,598,Muy bien,2023-06-09,2 dias
Ibis Madrid Aeropuerto Barajas,Barajas,328,Muy bien,2023-06-09,2 dias
Petit Palace Tres Cruces,Centro,536,Fabuloso,2023-06-09,2 dias
"Círculo Gran Vía, Autograph Collection (Adults Only)",Centro,891,Fabuloso,2023-06-09,2 dias
Leonardo Boutique Hotel Madrid,Otro,397,Muy bien,2023-06-09,2 dias
7 Islas Hotel,Centro,654,Fantástico,2023-06-09,2 dias
The Pavilions Madrid Hotel,Otro,989,Fabuloso,2023-06-09,2 dias
Ikonik Gran Vía,Centro,680,Fabuloso,2023-06-09,2 dias
Victoria 4 Puerta del Sol,Centro,476,Muy bien,2023-06-09,2 dias
B&B HOTEL Madrid Aeropuerto T1 T2 T3,San Blas,275,Muy bien,2023-06-09,2 dias
Pestana Plaza Mayor Madrid,Centro,727,Fantástico,2023-06-09,2 dias
Suite Prado,Centro,710,Muy bien,2023-06-09,2 dias
Gran Hotel Inglés - The Leading Hotels of the World,Centro,122,Fantástico,2023-06-09,2 dias
Hotel Meninas - Boutique Opera,Centro,580,Muy bien,2023-06-09,2 dias
ICON Wipton,Salamanca,828,Fantástico,2023-06-09,2 dias
Hotel Europa,Centro,527,Fabuloso,2023-06-09,2 dias
"Hotel Madrid Plaza de España, Affiliated by Meliá",Centro,633,Muy bien,2023-06-09,2 dias
Porcel Ganivet,Centro,565,Muy bien,2023-06-09,2 dias
B&B HOTEL Madrid Centro Puerta del Sol,Centro,483,Fantástico,2023-06-09,2 dias
Room Mate Alba,Centro,638,Fantástico,2023-06-09,2 dias
Only YOU Boutique Hotel Madrid,Centro,975,Fantástico,2023-06-09,2 dias
Iberostar Las Letras Gran Via,Centro,770,Fabuloso,2023-06-09,2 dias
AC Hotel Aitana by Marriott,Chamartín,440,Fabuloso,2023-06-09,2 dias
Petit Palace Arenal,Centro,624,Fabuloso,2023-06-09,2 dias
Sonder Santa Ana,Centro,678,Fabuloso,2023-06-09,2 dias
"Thompson Madrid, a Hyatt Brand",Centro,125,Fabuloso,2023-06-09,2 dias
Hard Rock Hotel Madrid,Arganzuela,670,Fabuloso,2023-06-09,2 dias
New Point Opera,Centro,105,Fantástico,2023-06-09,2 dias
CoolRooms Palacio de Atocha,Centro,155,Fantástico,2023-06-09,2 dias
Hotel Crowne Plaza Madrid Airport,San Blas,338,Fabuloso,2023-06-09,2 dias
Rosewood Villa Magna,Salamanca,396,Fantástico,2023-06-09,2 dias
Hotel Don Luis,Barajas,310,Bien,2023-06-09,2 dias
Hotel Regina,Centro,770,Fantástico,2023-06-09,2 dias
Francisco I Boutique,Centro,623,Fabuloso,2023-06-09,2 dias
Relais & Châteaux Hotel Orfila,Otro,150,Fantástico,2023-06-09,2 dias
Clement Barajas,Barajas,510,Muy bien,2023-06-09,2 dias
JW Marriott Hotel Madrid,Centro,157,Fantástico,2023-06-09,2 dias
"Hotel Madrid Alameda Aeropuerto, Affiliated by Meliá",Barajas,468,Muy bien,2023-06-09,2 dias
"Santo Mauro, a Luxury Collection Hotel, Madrid",Otro,140,Fantástico,2023-06-09,2 dias
Intur Palacio San Martin,Centro,897,Fabuloso,2023-06-09,2 dias
Quatro Puerta del Sol,Centro,464,Muy bien,2023-06-09,2 dias
Hotel Nuevo Boston,San Blas,391,Muy bien,2023-06-09,2 dias
Hilton Madrid Airport,Barajas,466,Muy bien,2023-06-09,2 dias
HRC Hotel,Centro,480,Bien,2023-06-09,2 dias
NH Collection Madrid Colón,Salamanca,700,Muy bien,2023-06-09,2 dias
Don Pio,Chamartín,420,Muy bien,2023-06-09,2 dias
One Shot Recoletos 04,Salamanca,540,Muy bien,2023-06-09,2 dias
Melia Castilla,Otro,510,Fabuloso,2023-06-09,2 dias
NeoMagna Madrid,Salamanca,432,Bien,2023-06-09,2 dias
Hotel Fenix Gran Meliá - The Leading Hotels of the World,Salamanca,900,Fabuloso,2023-06-09,2 dias
Novotel Madrid City Las Ventas,Ciudad Lineal,411,Fabuloso,2023-06-09,2 dias
Chic & Basic dot,Centro,578,Fabuloso,2023-06-09,2 dias
Aravaca Village Hotel,Moncloa,304,Muy bien,2023-06-09,2 dias
Petit Palace Preciados,Centro,568,Muy bien,2023-06-09,2 dias
Senator Barajas,Barajas,337,Bien,2023-06-09,2 dias
ICON Casona 1900,Salamanca,675,Fantástico,2023-06-09,2 dias
"Hotel Urban,a Member of Design Hotels",Centro,647,Fabuloso,2023-06-09,2 dias
Petit Palace Posada del Peine,Centro,574,Muy bien,2023-06-09,2 dias
DWO Yuste Alcalá,San Blas,384,Fabuloso,2023-06-09,2 dias
DWO Colours Alcalá,San Blas,388,Muy bien,2023-06-09,2 dias
"Hotel Madrid Atocha, Affiliated by Meliá",Centro,528,Muy bien,2023-06-09,2 dias
Hotel Maydrit Airport,Barajas,450,Fabuloso,2023-06-09,2 dias
Occidental Castellana Norte,Hortaleza,391,Fabuloso,2023-06-09,2 dias
Ibis Styles Madrid Prado,Centro,555,Fabuloso,2023-06-09,2 dias
L&H La Latina Selection,Centro,463,Fantástico,2023-06-09,2 dias
"Holiday Inn Madrid - Las Tablas, an IHG Hotel",Fuencarral,360,Muy bien,2023-06-09,2 dias
"Hotel Único Madrid, Small Luxury Hotels",Salamanca,107,Fabuloso,2023-06-09,2 dias
Amor de Dios 17 Luxury Suites,Centro,495,Fantástico,2023-06-09,2 dias
AP Hotel Madrid Airport,Barajas,303,Bien,2023-06-09,2 dias
Sonder Malasaña,Centro,876,Fantástico,2023-06-09,2 dias
Hyatt Regency Madrid Residences,Salamanca,113,Fabuloso,2023-06-09,2 dias
Bob W Chueca,Centro,521,Fabuloso,2023-06-09,2 dias
Four Seasons Hotel Madrid,Centro,269,Fantástico,2023-06-09,2 dias
Hotel Los 5 Pinos,San Blas,352,Muy bien,2023-06-09,2 dias
Hotel Villa de Barajas,Barajas,390,Muy bien,2023-06-09,2 dias
Hotel Mayorazgo,Centro,636,Fabuloso,2023-06-09,2 dias
"Mandarin Oriental, Ritz Madrid",Retiro,385,Fantástico,2023-06-09,2 dias
NH Madrid Zurbano,Otro,838,Muy bien,2023-06-09,2 dias
Hotel Mora by MIJ,Centro,836,Muy bien,2023-06-09,2 dias
AC Hotel Avenida de América by Marriott,Salamanca,272,Fabuloso,2023-06-09,2 dias
NH Madrid Atocha,Retiro,908,Muy bien,2023-06-09,2 dias
Oriente Palace Apartments,Centro,389,Fabuloso,2023-06-16,1 dia
Anuncio publicitario,Salamanca,469,Muy bien,2023-06-16,1 dia
Zleep Madrid Airport,San Blas,110,Muy bien,2023-06-16,1 dia
Crisol Vía Castellana,Chamartín,173,Muy bien,2023-06-16,1 dia
NH Madrid Zurbano,Otro,195,Muy bien,2023-06-16,1 dia
"Holiday Inn Express - Madrid - Airport, an IHG Hotel",San Blas,125,Fabuloso,2023-06-16,1 dia
Boutique Urban Madrid Serrano,Salamanca,150,No disponible,2023-06-16,1 dia
Eurostars Central,Centro,195,Muy bien,2023-06-16,1 dia
Boutique Urban Madrid Génova,Otro,150,No disponible,2023-06-16,1 dia
Hotel Puerta America,Chamartín,210,Muy bien,2023-06-16,1 dia
Hotel Nuevo Boston,San Blas,121,Muy bien,2023-06-16,1 dia
NH Madrid Las Tablas,Fuencarral,119,Muy bien,2023-06-16,1 dia
Abalú Boutique & Design Hotel,Centro,183,Bien,2023-06-16,1 dia
Ibis Madrid Calle Alcalá,San Blas,138,Muy bien,2023-06-16,1 dia
Barceló Imagine,Chamartín,216,Fantástico,2023-06-16,1 dia
NH Barajas Airport,Barajas,141,Muy bien,2023-06-16,1 dia
AB Design Suites,Centro,195,Bien,2023-06-16,1 dia
Ibis Budget Madrid Vallecas,Vallecas,82,Bien,2023-06-16,1 dia
Novotel Madrid Center,Salamanca,234,Fabuloso,2023-06-16,1 dia
AC Hotel Madrid Feria by Marriott,Hortaleza,126,Fabuloso,2023-06-16,1 dia
Riu Plaza España,Centro,475,Fabuloso,2023-06-16,1 dia
Sercotel Madrid Aeropuerto,Barajas,154,Muy bien,2023-06-16,1 dia
Caballero Errante,Otro,140,No disponible,2023-06-16,1 dia
Exe Plaza,Otro,186,Muy bien,2023-06-16,1 dia
NH Paseo de la Habana,Chamartín,170,Bien,2023-06-16,1 dia
Petit Palace President Castellana,Salamanca,278,Bien,2023-06-16,1 dia
NH Collection Madrid Abascal,Otro,189,Fabuloso,2023-06-16,1 dia
"URSO Hotel & Spa, a Small Luxury Hotel of the World",Centro,382,Fantástico,2023-06-16,1 dia
4C Bravo Murillo,Otro,140,Muy bien,2023-06-16,1 dia
NH Madrid Balboa,Salamanca,203,Muy bien,2023-06-16,1 dia
NH Madrid Ventas,Salamanca,185,Muy bien,2023-06-16,1 dia
AC Hotel Los Vascos by Marriott,Moncloa,183,Muy bien,2023-06-16,1 dia
Exe Moncloa,Moncloa,190,Muy bien,2023-06-16,1 dia
AC Hotel Atocha by Marriott,Arganzuela,252,Fabuloso,2023-06-16,1 dia
"Madrid Airport Suites, Affiliated by Meliá",San Blas,125,Bien,2023-06-16,1 dia
Hotel Glam,Centro,389,Fabuloso,2023-06-16,1 dia
NH Madrid Nacional,Centro,232,Muy bien,2023-06-16,1 dia
Abba Madrid,Salamanca,175,Fabuloso,2023-06-16,1 dia
Dormirdcine,Salamanca,225,Muy bien,2023-06-16,1 dia
Hotel Life Gran Via,Centro,169,Bien,2023-06-16,1 dia
Ilunion Pio XII,Chamartín,166,Muy bien,2023-06-16,1 dia
Axel Hotel Madrid - Adults Only,Centro,269,Muy bien,2023-06-16,1 dia
H10 Puerta de Alcalá,Salamanca,215,Muy bien,2023-06-16,1 dia
Zenit Conde de Orgaz,Hortaleza,124,Muy bien,2023-06-16,1 dia
Senator Barajas,Barajas,135,Bien,2023-06-16,1 dia
NH Madrid Chamberí,Otro,185,Muy bien,2023-06-16,1 dia
Axor Feria,San Blas,140,Muy bien,2023-06-16,1 dia
The Social Hub Madrid,Moncloa,186,Fabuloso,2023-06-16,1 dia
Sercotel Togumar,Chamartín,208,Muy bien,2023-06-16,1 dia
Catalonia Goya,Salamanca,240,Fabuloso,2023-06-16,1 dia
Hotel Madrid Río,Usera,105,Bien,2023-06-16,1 dia
Rafaelhoteles Atocha,Arganzuela,193,Muy bien,2023-06-16,1 dia
H-A Aparthotel Hotel Quo,Salamanca,117,Bien,2023-06-16,1 dia
Melia Avenida de America,San Blas,189,Fantástico,2023-06-16,1 dia
Melia Barajas,Barajas,157,Muy bien,2023-06-16,1 dia
Silken Puerta Madrid,San Blas,133,Muy bien,2023-06-16,1 dia
The Social Hub Madrid 4 star,Moncloa,205,Fabuloso,2023-06-16,1 dia
Madrid Marriott Auditorium Hotel & Conference Center,San Blas,140,Fabuloso,2023-06-16,1 dia
Zenit Abeba,Salamanca,249,Muy bien,2023-06-16,1 dia
Claridge Madrid,Retiro,220,Fabuloso,2023-06-16,1 dia
AC Hotel Cuzco by Marriott,Otro,188,Fabuloso,2023-06-16,1 dia
Hotel Nuevo Madrid,Ciudad Lineal,180,Muy bien,2023-06-16,1 dia
Room Mate Macarena – Gran Vía,Centro,265,Fabuloso,2023-06-16,1 dia
Soho Boutique Congreso,Centro,229,Muy bien,2023-06-16,1 dia
Urban Sea Hotel Atocha 113,Centro,185,Bien,2023-06-16,1 dia
Eurostars Casa de la Lírica,Centro,230,Muy bien,2023-06-16,1 dia
Aparthotel Tribunal,Centro,239,Bien,2023-06-16,1 dia
Erase un Hotel,Otro,170,Muy bien,2023-06-16,1 dia
Hotel Mexico,Centro,190,Bien,2023-06-16,1 dia
Ekilibrio Hotel & Apart-Suites,Usera,150,Muy bien,2023-06-16,1 dia
Eurostars Suites Mirasierra,Fuencarral,280,Muy bien,2023-06-16,1 dia
"Atocha Hotel Madrid, Tapestry Collection by Hilton",Centro,256,Fantástico,2023-06-16,1 dia
SabiaNatura - boutiqueMadrid,Centro,191,Bien,2023-06-16,1 dia
"Hotel Madrid Centro, Affiliated by Meliá",Centro,252,Bien,2023-06-16,1 dia
H10 Tribeca,Otro,180,Fabuloso,2023-06-16,1 dia
ARTIEM Madrid,Ciudad Lineal,150,Fantástico,2023-06-16,1 dia
N1 Casa de Madrid - greenpeace line,Salamanca,90,No disponible,2023-06-16,1 dia
Ibis Styles Madrid City Las Ventas,Ciudad Lineal,172,Fabuloso,2023-06-16,1 dia
Ibis Madrid Aeropuerto Barajas,Barajas,137,Muy bien,2023-06-16,1 dia
One Shot Prado 23,Centro,225,Muy bien,2023-06-16,1 dia
VP Jardín Metropolitano,Otro,174,Fabuloso,2023-06-16,1 dia
Hotel 4C Puerta Europa,Otro,170,Bien,2023-06-16,1 dia
Petit Palace Plaza del Carmen,Centro,374,Fabuloso,2023-06-16,1 dia
Posada del León de Oro Boutique Hotel,Centro,219,Fantástico,2023-06-16,1 dia
Axor Barajas,San Blas,145,Muy bien,2023-06-16,1 dia
Espahotel Plaza Basílica,Otro,180,Muy bien,2023-06-16,1 dia
Hotel Acta Madfor,Moncloa,300,Muy bien,2023-06-16,1 dia
Exe Zarzuela Park,Moncloa,242,Muy bien,2023-06-16,1 dia
Ilunion Atrium,Ciudad Lineal,211,Fabuloso,2023-06-16,1 dia
TaCH Madrid Airport,Barajas,160,Muy bien,2023-06-16,1 dia
NH Collection Madrid Colón,Salamanca,274,Muy bien,2023-06-16,1 dia
Canopy by Hilton Madrid Castellana,Otro,230,Fabuloso,2023-06-16,1 dia
Globales Acis y Galatea,Hortaleza,150,Muy bien,2023-06-16,1 dia
The Pavilions Madrid Hotel,Otro,306,Fabuloso,2023-06-16,1 dia
Hotel Maydrit Airport,Barajas,223,Fabuloso,2023-06-16,1 dia
Room Mate Alicia,Centro,299,Fabuloso,2023-06-16,1 dia
Leonardo Boutique Hotel Madrid,Otro,193,Muy bien,2023-06-16,1 dia
NYX Hotel Madrid by Leonardo Hotels,Otro,165,Muy bien,2023-06-16,1 dia
"Hotel Villa Real, a member of Preferred Hotels & Resorts",Centro,261,Fabuloso,2023-06-16,1 dia
Catalonia Plaza Mayor,Centro,270,Fabuloso,2023-06-16,1 dia
Petit Palace Chueca,Centro,199,Fabuloso,2023-06-16,1 dia
Eco Via Lusitana,Carabanchel,99,Muy bien,2023-06-16,1 dia
Anaco,Centro,165,No disponible,2023-06-16,1 dia
Casón del Tormes,Centro,191,Fabuloso,2023-06-16,1 dia
Petit Palace Savoy Alfonso XII,Retiro,304,Fabuloso,2023-06-16,1 dia
"Hotel Montera Madrid, Curio Collection By Hilton",Centro,309,Fabuloso,2023-06-16,1 dia
B&B HOTEL Madrid Aeropuerto T1 T2 T3,San Blas,104,Muy bien,2023-06-16,1 dia
Petit Palace Arturo Soria Alcalá,Ciudad Lineal,224,Fabuloso,2023-06-16,1 dia
"Hotel Madrid Alameda Aeropuerto, Affiliated by Meliá",Barajas,152,Muy bien,2023-06-16,1 dia
Eurostars Plaza Mayor,Centro,240,Muy bien,2023-06-16,1 dia
Rafaelhoteles Ventas,Ciudad Lineal,149,Bien,2023-06-16,1 dia
Exe Suites 33,Centro,235,Muy bien,2023-06-16,1 dia
Hotel Infantas by MIJ,Centro,257,Muy bien,2023-06-16,1 dia
"Hotel Indigo Madrid - Gran Via, an IHG Hotel",Centro,285,Fabuloso,2023-06-16,1 dia
"TÓTEM Madrid, a Small Luxury Hotel of the World",Salamanca,373,Fantástico,2023-06-16,1 dia
Compostela Suites,San Blas,108,Bien,2023-06-16,1 dia
La Quinta de los Cedros,Ciudad Lineal,125,Fabuloso,2023-06-16,1 dia
Room Mate Mario,Centro,245,Muy bien,2023-06-16,1 dia
NH Madrid Ribera del Manzanares,Arganzuela,168,Muy bien,2023-06-16,1 dia
Casual del Teatro Madrid,Centro,221,Muy bien,2023-06-16,1 dia
Regente Hotel,Centro,223,Muy bien,2023-06-16,1 dia
UVE Marcenado,Chamartín,169,Fantástico,2023-06-16,1 dia
"Hotel Madrid Chamartín, Affiliated by Meliá",Chamartín,285,Muy bien,2023-06-16,1 dia
Petit Palace Lealtad Plaza,Retiro,373,Fabuloso,2023-06-16,1 dia
Sercotel Gran Hotel Conde Duque,Otro,215,Muy bien,2023-06-16,1 dia
One Shot Fortuny 07,Otro,243,Muy bien,2023-06-16,1 dia
Hotel Best Osuna,Hortaleza,170,Bien,2023-06-16,1 dia
Intur Palacio San Martin,Centro,225,Fabuloso,2023-06-16,1 dia
Rafaelhoteles Piramides,Arganzuela,163,Muy bien,2023-06-16,1 dia
Hyatt Centric Gran Via Madrid,Centro,348,Fabuloso,2023-06-16,1 dia
Petit Palace Plaza España,Centro,294,Muy bien,2023-06-16,1 dia
B&B HOTEL Madrid Centro Fuencarral 52,Centro,197,Fabuloso,2023-06-16,1 dia
Madrisol,Centro,251,Bien,2023-06-16,1 dia
Hotel Santo Domingo,Centro,275,Bien,2023-06-16,1 dia
Hotel Mirador Puerta del Sol,Centro,170,Muy bien,2023-06-16,1 dia
Wellington Hotel & Spa Madrid,Salamanca,375,Fabuloso,2023-06-16,1 dia
Ilunion Alcalá Norte,San Blas,229,Fabuloso,2023-06-16,1 dia
AC Hotel Aitana by Marriott,Chamartín,247,Fabuloso,2023-06-16,1 dia
Elba Madrid Alcalá,San Blas,172,Fabuloso,2023-06-16,1 dia
AC Hotel Aravaca by Marriott,Moncloa,178,Muy bien,2023-06-16,1 dia
Hotel Freedom,Centro,180,Muy bien,2023-06-16,1 dia
Petit Palace Plaza Mayor,Centro,329,Muy bien,2023-06-16,1 dia
Líbere Madrid Palacio Real,Centro,288,Muy bien,2023-06-16,1 dia
Barceló Emperatriz,Salamanca,244,Fabuloso,2023-06-16,1 dia
NH Collection Madrid Palacio de Tepa,Centro,329,Fabuloso,2023-06-16,1 dia
Hotel Mora by MIJ,Centro,190,Muy bien,2023-06-16,1 dia
Negresco Gran Via,Centro,171,Bien,2023-06-16,1 dia
Pestana Plaza Mayor Madrid,Centro,318,Fantástico,2023-06-16,1 dia
The Madrid EDITION,Centro,570,Fantástico,2023-06-16,1 dia
Ayre Gran Hotel Colón,Retiro,226,Muy bien,2023-06-16,1 dia
Hotel Mirador de Chamartín,Chamartín,166,Muy bien,2023-06-16,1 dia
Eco Alcalá Suites,San Blas,162,Bien,2023-06-16,1 dia
DoubleTree by Hilton Madrid-Prado,Centro,317,Fabuloso,2023-06-16,1 dia
Hotel Don Luis,Barajas,100,Bien,2023-06-16,1 dia
Petit Palace Alcalá,Centro,299,Muy bien,2023-06-16,1 dia
Ibis Styles Madrid Prado,Centro,244,Fabuloso,2023-06-16,1 dia
Only YOU Hotel Atocha,Retiro,330,Fantástico,2023-06-16,1 dia
Radisson RED Madrid,Centro,309,Fabuloso,2023-06-16,1 dia
Aspasios Atocha Apartments,Centro,324,Fabuloso,2023-06-16,1 dia
"Holiday Inn Madrid - Las Tablas, an IHG Hotel",Fuencarral,117,Muy bien,2023-06-16,1 dia
Petit Palace Triball,Centro,272,Fabuloso,2023-06-16,1 dia
NH Madrid Alonso Martinez,Otro,231,Muy bien,2023-06-16,1 dia
Madrid Chueca Behap Collection Apartments,Centro,292,No disponible,2023-06-16,1 dia
Hotel Fenix Gran Meliá - The Leading Hotels of the World,Salamanca,390,Fabuloso,2023-06-16,1 dia
"Hotel Urban,a Member of Design Hotels",Centro,281,Fabuloso,2023-06-16,1 dia
Novotel Campo De Las Naciones,Barajas,171,Muy bien,2023-06-16,1 dia
Senator Castellana,Otro,170,Muy bien,2023-06-16,1 dia
Hyatt Regency Hesperia Madrid,Otro,288,Muy bien,2023-06-16,1 dia
Hotel Cortezo,Centro,220,Muy bien,2023-06-16,1 dia
"Hotel Madrid Atocha, Affiliated by Meliá",Centro,250,Muy bien,2023-06-16,1 dia
Melia Madrid Princesa,Moncloa,294,Muy bien,2023-06-16,1 dia
