0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Eurostars Suites Mirasierra,Se abre en una ventana nueva,"Fuencarral - El Pardo, MadridMostrar en el mapaa 7,8 km del centroCerca del metro",Nivel 3 del programa de Viajes sostenibles,"8,5",Muy bien,2.870 comentarios,Suite Deluxe con aparcamiento,Suite privada,1 cama doble,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 475,Precio € 475,Incluye impuestos y cargos,Ver disponibilidad,,,,,
Paseo Suites Hotel,Se abre en una ventana nueva,"Villaverde, MadridMostrar en el mapaa 7,6 km del centro",Nivel 2 del programa de Viajes sostenibles,"9,2",Fantástico,171 comentarios,Suite Junior,Suite privada,"2 camas (1 doble extragrande, 1 sofá cama)",Solo queda 1 a este precio en nuestra web,"2 noches, 2 adultos",€ 350,Precio € 350,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,
Espahotel Plaza Basílica,Se abre en una ventana nueva,"Tetuán, MadridMostrar en el mapaa 3,7 km del centroCerca del metro","8,2",Muy bien,1.031 comentarios,Estudio (2 adultos),Estudio entero • 1 baño • 1 cocina • 20m²,1 cama doble,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 2 a este precio en nuestra web,"2 noches, 2 adultos",€ 340,Precio € 340,Incluye impuestos y cargos,Ver disponibilidad,,,,,
"Hotel Indigo Madrid - Gran Via, an IHG Hotel",Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,6 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,7",Fabuloso,1.765 comentarios,"Ubicación 9,7",Habitación Doble Estándar,1 cama doble grande,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 6 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 570,Precio € 570,Incluye impuestos y cargos,Ver disponibilidad,,,,
N1 Casa de Madrid - greenpeace line,Se abre en una ventana nueva,"Salamanca, MadridMostrar en el mapaa 3,4 km del centroCerca del metro","6,3",Puntuación,47 comentarios,Nuevo en Booking.com,Habitación Triple con baño compartido,"2 camas (1 individual, 1 doble grande)",Cancelación GRATIS,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo queda 1 habitación a este precio en nuestra web,"2 noches, 2 adultos",€ 198,Precio € 198,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
Hotel Nuevo Madrid,Se abre en una ventana nueva,"Ciudad Lineal, MadridMostrar en el mapaa 6,6 km del centro","8,2",Muy bien,9.073 comentarios,Habitación Doble - 1 o 2 camas,Camas: 1 doble o 2 individuales,"2 noches, 2 adultos",€ 405,Precio € 405,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,,,,
Leonardo Boutique Hotel Madrid,Se abre en una ventana nueva,"Chamberí, MadridMostrar en el mapaa 2,3 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,4",Muy bien,2.994 comentarios,Habitación Confort,Camas: 1 doble o 2 individuales,"2 noches, 2 adultos",€ 401,Precio € 401,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,,,
Petit Palace Chueca,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 450 m del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,6",Fabuloso,3.096 comentarios,"Ubicación 9,7",Habitación Doble - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 4 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 424,Precio € 424,Incluye impuestos y cargos,Ver disponibilidad,,,,
Canopy by Hilton Madrid Castellana,Se abre en una ventana nueva,"Tetuán, MadridMostrar en el mapaa 3,9 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,7",Fabuloso,1.231 comentarios,Habitación Doble con vistas a la ciudad - 2 camas dobles,2 camas dobles,"2 noches, 2 adultos",€ 468,Precio € 468,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,,,
NH Collection Madrid Colón,Se abre en una ventana nueva,"Salamanca, MadridMostrar en el mapaa 1,6 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,5",Muy bien,1.192 comentarios,"Ubicación 9,6",Habitación Doble Superior - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 549,Precio € 549,Incluye impuestos y cargos,Ver disponibilidad,,,,,
"Hotel Villa Real, a member of Preferred Hotels & Resorts",Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,6 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,7",Fabuloso,1.699 comentarios,"Ubicación 9,7",Habitación Doble Superior - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 5 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 522,Precio € 522,Incluye impuestos y cargos,Ver disponibilidad,,,,
AC Hotel Cuzco by Marriott,Se abre en una ventana nueva,"Tetuán, MadridMostrar en el mapaa 4,8 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,8",Fabuloso,1.247 comentarios,Habitación Estándar con cama extragrande y vistas a la ciudad,1 cama doble extragrande,Solo quedan 6 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 386,Precio € 386,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,,
ARTIEM Madrid,Se abre en una ventana nueva,"Ciudad Lineal, MadridMostrar en el mapaa 5,5 km del centro",Nivel 2 del programa de Viajes sostenibles,"9,3",Fantástico,1.599 comentarios,Habitación Doble Superior - 1 o 2 camas,Camas: 1 doble o 2 individuales,Solo quedan 3 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 311,Precio € 311,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,,
Hotel Santo Domingo,Se abre en una ventana nueva,Promocionado,Este establecimiento paga un poco más para promocionarse en nuestra página. Cumple con tus criterios de búsqueda y es una muy buena opción.,"Centro de Madrid, MadridMostrar en el mapaa 0,6 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"7,4",Bien,5.393 comentarios,"Ubicación 9,4",Habitación Doble Pequeña,1 cama doble,Cancelación GRATIS,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 550€ 467,Precio original € 550. Precio actual € 467.,Incluye impuestos y cargos,Ver disponibilidad,,,,
Hotel Life Gran Via,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,8 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"7,1",Bien,1.393 comentarios,Habitación Doble - 1 o 2 camas,2 camas individuales,Cancelación GRATIS,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo queda 1 habitación a este precio en nuestra web,"2 noches, 2 adultos",€ 360,Precio € 360,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
Hotel Infantas by MIJ,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,7 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,3",Muy bien,1.686 comentarios,"Ubicación 9,5",Habitación Doble - 1 o 2 camas,Camas: 1 doble o 2 individuales,Solo quedan 5 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 523,Precio € 523,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,
Líbere Madrid Palacio Real,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 400 m del centroCerca del metro","8,1",Muy bien,741 comentarios,"Ubicación 9,4",Oferta Escapada,Estudio,Estudio entero • 1 baño • 1 cocina • 28m²,1 cama doble,Solo quedan 6 a este precio en nuestra web,"2 noches, 2 adultos",€ 565€ 481,Precio original € 565. Precio actual € 481.,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
Catalonia El Retiro,Se abre en una ventana nueva,"Retiro, MadridMostrar en el mapaa 3,4 km del centroCerca del metro",Nivel 3 del programa de Viajes sostenibles,"8,5",Muy bien,1.170 comentarios,Habitación Doble Estándar - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 400,Precio € 400,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
Eurostars Suites Mirasierra,Se abre en una ventana nueva,"Fuencarral - El Pardo, MadridMostrar en el mapaa 7,8 km del centroCerca del metro",Nivel 3 del programa de Viajes sostenibles,"8,5",Muy bien,2.870 comentarios,Suite Deluxe con aparcamiento,Suite privada,1 cama doble,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 475,Precio € 475,Incluye impuestos y cargos,Ver disponibilidad,,,,,
Catalonia El Retiro,Se abre en una ventana nueva,"Retiro, MadridMostrar en el mapaa 3,4 km del centroCerca del metro",Nivel 3 del programa de Viajes sostenibles,"8,5",Muy bien,1.170 comentarios,Habitación Doble Estándar - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 400,Precio € 400,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
The Pavilions Madrid Hotel,Se abre en una ventana nueva,"Chamberí, MadridMostrar en el mapaa 1,5 km del centroCerca del metro","8,9",Fabuloso,648 comentarios,"Ubicación 9,4",Oferta Escapada,Habitación Doble Estándar - 1 o 2 camas,"3 camas (2 individuales, 1 doble grande)",Solo queda 1 habitación a este precio en nuestra web,"2 noches, 2 adultos",€ 611€ 520,Precio original € 611. Precio actual € 520.,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,
Eurostars Plaza Mayor,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 400 m del centroCerca del metro",Nivel 3 del programa de Viajes sostenibles,"8,5",Muy bien,1.831 comentarios,Habitación Doble - 1 o 2 camas,Varios tipos de camas,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 500,Precio € 500,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
Hotel Opera,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,6 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,4",Muy bien,2.143 comentarios,"Ubicación 9,6",Habitación Doble - 1 o 2 camas,2 camas individuales,Cancelación GRATIS,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 2 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 535,Precio € 535,Incluye impuestos y cargos,Ver disponibilidad,,,,,
Intur Palacio San Martin,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 350 m del centroCerca del metro","8,7",Fabuloso,3.014 comentarios,"Ubicación 9,7",Habitación Doble - 2 camas,2 camas individuales,Solo quedan 4 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 459,Precio € 459,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,,
Desayuno incluido,Petit Palace Arturo Soria Alcalá,Se abre en una ventana nueva,"Ciudad Lineal, MadridMostrar en el mapaa 6 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,6",Fabuloso,421 comentarios,Habitación (1 o 2 adultos) - 1 o 2 camas,Camas: 1 doble o 2 individuales,Desayuno incluido,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 5 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 458,Precio € 458,Incluye impuestos y cargos,Ver disponibilidad,,,
"Hotel Villa Real, a member of Preferred Hotels & Resorts",Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,6 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,7",Fabuloso,1.699 comentarios,"Ubicación 9,7",Habitación Doble Superior - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 5 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 522,Precio € 522,Incluye impuestos y cargos,Ver disponibilidad,,,,
Petit Palace Lealtad Plaza,Se abre en una ventana nueva,"Retiro, MadridMostrar en el mapaa 1,1 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,6",Fabuloso,2.033 comentarios,"Ubicación 9,5",Taxi gratis desde el aeropuerto,Oferta Escapada,Habitación Familiar,Camas: 1 doble o 2 individuales,Solo quedan 5 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 873€ 698,Precio original € 873. Precio actual € 698.,Incluye impuestos y cargos,Ver disponibilidad,,,,,
Casón del Tormes,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,9 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,6",Fabuloso,3.081 comentarios,"Ubicación 9,6",Doble Estándar,1 cama doble,Cancelación GRATIS,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 429,Precio € 429,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
Studios Cielo Madrid,Se abre en una ventana nueva,"Carabanchel, MadridMostrar en el mapaa 3,9 km del centroCerca del metro","8,9",Fabuloso,917 comentarios,Estudio Superior,Estudio entero • 1 baño • 1 cocina • 25m²,"2 camas (1 doble, 1 sofá cama)","2 noches, 2 adultos",€ 310,Precio € 310,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,,,
Ilunion Pio XII,Se abre en una ventana nueva,"Chamartín, MadridMostrar en el mapaa 6,3 km del centro",Nivel 3 del programa de Viajes sostenibles,"8,3",Muy bien,9.482 comentarios,Oferta Escapada,Habitación Doble - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 457€ 366,Precio original € 457. Precio actual € 366.,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
Hyatt Centric Gran Via Madrid,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 350 m del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,9",Fabuloso,1.943 comentarios,"Ubicación 9,7",Habitación Doble - 2 camas dobles,2 camas dobles,"2 noches, 2 adultos",€ 661,Precio € 661,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,,
One Shot Fortuny 07,Se abre en una ventana nueva,"Chamberí, MadridMostrar en el mapaa 1,7 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,3",Muy bien,1.277 comentarios,"Ubicación 9,4",Habitación Doble Estándar - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 482,Precio € 482,Incluye impuestos y cargos,Ver disponibilidad,,,,,
Petit Palace Savoy Alfonso XII,Se abre en una ventana nueva,"Retiro, MadridMostrar en el mapaa 1,2 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,6",Fabuloso,1.740 comentarios,"Ubicación 9,6",Taxi gratis desde el aeropuerto,Habitación (1 o 2 adultos) - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 635,Precio € 635,Incluye impuestos y cargos,Ver disponibilidad,,,,
Desayuno incluido,NH Collection Madrid Paseo del Prado,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,8 km del centroCerca del metro",Nivel 3 del programa de Viajes sostenibles,"8,5",Muy bien,1.712 comentarios,"Ubicación 9,6",Taxi gratis desde el aeropuerto,Habitación Doble Superior - 1 o 2 camas,Camas: 1 doble o 2 individuales,Desayuno incluido,"2 noches, 2 adultos",€ 626,Precio € 626,Incluye impuestos y cargos,Ver disponibilidad,,,,,
"TÓTEM Madrid, a Small Luxury Hotel of the World",Se abre en una ventana nueva,"Salamanca, MadridMostrar en el mapaa 1,9 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"9,0",Fantástico,629 comentarios,"Ubicación 9,9",Taxi gratis desde el aeropuerto,Habitación Doble Petite,1 cama doble grande,Solo queda 1 habitación a este precio en nuestra web,"2 noches, 2 adultos",€ 756,Precio € 756,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
Wellington Hotel & Spa Madrid,Se abre en una ventana nueva,"Salamanca, MadridMostrar en el mapaa 1,7 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,9",Fabuloso,1.280 comentarios,"Ubicación 9,7",Taxi gratis desde el aeropuerto,Habitación Executive - 2 camas,2 camas individuales,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 764,Precio € 764,Incluye impuestos y cargos,Ver disponibilidad,,,,
Posada del León de Oro Boutique Hotel,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,6 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"9,0",Fantástico,1.320 comentarios,"Ubicación 9,7",Habitación Doble,1 cama doble,Cancelación GRATIS,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 2 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 448,Precio € 448,Incluye impuestos y cargos,Ver disponibilidad,,,,,
Hotel Santo Domingo,Se abre en una ventana nueva,Promocionado,Este establecimiento paga un poco más para promocionarse en nuestra página. Cumple con tus criterios de búsqueda y es una muy buena opción.,"Centro de Madrid, MadridMostrar en el mapaa 0,6 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"7,4",Bien,5.393 comentarios,"Ubicación 9,4",Habitación Doble Pequeña,1 cama doble,Cancelación GRATIS,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 550€ 467,Precio original € 550. Precio actual € 467.,Incluye impuestos y cargos,Ver disponibilidad,,,,
Catalonia Atocha,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,7 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,7",Fabuloso,4.214 comentarios,"Ubicación 9,3",Taxi gratis desde el aeropuerto,Habitación Doble - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 600,Precio € 600,Incluye impuestos y cargos,Ver disponibilidad,,,,
limehome Madrid Calle de Fomento - Digital Access,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,9 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,9",Fabuloso,658 comentarios,"Ubicación 9,5",Apartamento de 1 dormitorio en el ático,Apartamento entero • 1 dormitorio • 1 sala de estar • 1 baño • 27m²,1 cama doble grande,Solo queda 1 a este precio en nuestra web,"2 noches, 2 adultos",€ 468,Precio € 468,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
Petit Palace Plaza Mayor,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 500 m del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,4",Muy bien,2.545 comentarios,"Ubicación 9,7",Oferta Escapada,Habitación (1 o 2 adultos) - 1 o 2 camas,Camas: 1 doble o 2 individuales,Solo quedan 7 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 654€ 556,Precio original € 654. Precio actual € 556.,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
Hotel 4C Puerta Europa,Se abre en una ventana nueva,"Tetuán, MadridMostrar en el mapaa 5,4 km del centroCerca del metro","7,8",Bien,1.361 comentarios,Habitación Doble con cama supletoria,"2 camas (1 individual, 1 doble)",Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 2 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 355,Precio € 355,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
Hotel Los Condes,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,6 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,5",Muy bien,3.327 comentarios,"Ubicación 9,6",Habitación Doble de uso individual,1 cama individual,Cancelación GRATIS,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 397,Precio € 397,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
Hotel 4C Puerta Europa,Se abre en una ventana nueva,"Tetuán, MadridMostrar en el mapaa 5,4 km del centroCerca del metro","7,8",Bien,1.361 comentarios,Habitación Doble con cama supletoria,"2 camas (1 individual, 1 doble)",Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 2 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 355,Precio € 355,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
Eurostars Plaza Mayor,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 400 m del centroCerca del metro",Nivel 3 del programa de Viajes sostenibles,"8,5",Muy bien,1.831 comentarios,Habitación Doble - 1 o 2 camas,Varios tipos de camas,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 500,Precio € 500,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
Desayuno incluido,NH Collection Madrid Palacio de Tepa,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 350 m del centroCerca del metro",Nivel 3 del programa de Viajes sostenibles,"8,7",Fabuloso,1.047 comentarios,"Ubicación 9,6",Taxi gratis desde el aeropuerto,Habitación Doble Deluxe - 1 o 2 camas,Varios tipos de camas,Desayuno incluido,Solo quedan 7 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 653,Precio € 653,Incluye impuestos y cargos,Ver disponibilidad,,,,
Urban Sea Hotel Atocha 113,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 1 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"7,9",Bien,1.876 comentarios,"Ubicación 9,3",Habitación Doble Superior - 1 o 2 camas,1 cama doble grande,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 4 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 385,Precio € 385,Incluye impuestos y cargos,Ver disponibilidad,,,,
Zenit Conde de Orgaz,Se abre en una ventana nueva,"Hortaleza, MadridMostrar en el mapaa 6,5 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,5",Muy bien,2.141 comentarios,Habitación Doble - 2 camas,2 camas individuales,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 3 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 308,Precio € 308,Incluye impuestos y cargos,Ver disponibilidad,,,,,
Petit Palace Lealtad Plaza,Se abre en una ventana nueva,"Retiro, MadridMostrar en el mapaa 1,1 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,6",Fabuloso,2.033 comentarios,"Ubicación 9,5",Taxi gratis desde el aeropuerto,Oferta Escapada,Habitación Familiar,Camas: 1 doble o 2 individuales,Solo quedan 5 habitaciones a este precio en nuestra web,"2 noches, 2 adultos",€ 873€ 698,Precio original € 873. Precio actual € 698.,Incluye impuestos y cargos,Ver disponibilidad,,,,,
Room Mate Mario,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,6 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,5",Muy bien,2.346 comentarios,"Ubicación 9,7",Habitación Doble - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo queda 1 habitación a este precio en nuestra web,"2 noches, 2 adultos",€ 554,Precio € 554,Incluye impuestos y cargos,Ver disponibilidad,,,,
Rafaelhoteles Ventas,Se abre en una ventana nueva,"Ciudad Lineal, MadridMostrar en el mapaa 4,3 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"7,9",Bien,1.744 comentarios,Habitación Doble - 1 o 2 camas,Camas: 1 doble o 2 individuales,"2 noches, 2 adultos",€ 322,Precio € 322,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,,,
NH Collection Madrid Gran Vía,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 400 m del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,9",Fabuloso,1.411 comentarios,"Ubicación 9,7",Taxi gratis desde el aeropuerto,Habitación Doble Superior - 1 o 2 camas,Camas: 1 doble o 2 individuales,Solo queda 1 habitación a este precio en nuestra web,"2 noches, 2 adultos",€ 674,Precio € 674,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
Hotel Fenix Gran Meliá - The Leading Hotels of the World,Se abre en una ventana nueva,"Salamanca, MadridMostrar en el mapaa 1,6 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,8",Fabuloso,479 comentarios,"Ubicación 9,7",Taxi gratis desde el aeropuerto,Habitación Premium,Camas: 1 doble o 2 individuales,Cancelación GRATIS,Sin pago por adelantado - Pagarás en el alojamiento,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 780,Precio € 780,Incluye impuestos y cargos,Ver disponibilidad,,,,
Regente Hotel,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 350 m del centroCerca del metro","8,3",Muy bien,4.142 comentarios,"Ubicación 9,7",Doble Estándar,2 camas individuales,Cancelación GRATIS,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"2 noches, 2 adultos",€ 415,Precio € 415,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,
