0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Aparthotel Tribunal,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 1 km del centroCerca del metro","7,4",Bien,5.780 comentarios,"Ubicación 9,4",Habitación Doble Deluxe Superior - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 269,Precio € 269,Incluye impuestos y cargos,Ver disponibilidad,,,,,
Soho Boutique Congreso,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,5 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,5",Muy bien,3.688 comentarios,"Ubicación 9,6",Habitación Doble - 1 o 2 camas,Varios tipos de camas,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 260,Precio € 260,Incluye impuestos y cargos,Ver disponibilidad,,,,
Hotel Nuevo Boston,Se abre en una ventana nueva,"San Blas, MadridMostrar en el mapaa 11,3 km del centro",Nivel 1 del programa de Viajes sostenibles,"8,4",Muy bien,8.960 comentarios,Habitación Doble con aparcamiento - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación gratis,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 209,Precio € 209,Incluye impuestos y cargos,Ver disponibilidad,,,,,
N1 Casa de Madrid - greenpeace line,Se abre en una ventana nueva,"Salamanca, MadridMostrar en el mapaa 3,4 km del centroCerca del metro","6,3",Puntuación,47 comentarios,Nuevo en Booking.com,Habitación Doble con baño compartido,1 cama doble extragrande,Cancelación gratis,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 4 habitaciones a este precio en nuestra web,"1 noche, 2 adultos",€ 119,Precio € 119,Incluye impuestos y cargos,Ver disponibilidad,,,,
AC Hotel Madrid Feria by Marriott,Se abre en una ventana nueva,"Hortaleza, MadridMostrar en el mapaa 8,7 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,7",Fabuloso,1.060 comentarios,Habitación Doble,1 cama doble,"1 noche, 2 adultos",€ 145,Precio € 145,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,
"Hotel Villa Real, a member of Preferred Hotels & Resorts",Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,6 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,7",Fabuloso,1.699 comentarios,"Ubicación 9,7",Habitación Doble Superior - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 279,Precio € 279,Incluye impuestos y cargos,Ver disponibilidad,,,,
Ilunion Atrium,Se abre en una ventana nueva,"Ciudad Lineal, MadridMostrar en el mapaa 5,4 km del centro",Nivel 3 del programa de Viajes sostenibles,"8,6",Fabuloso,9.191 comentarios,Oferta Escapada,Habitación Doble - 1 o 2 camas,Varios tipos de camas,Cancelación gratis,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 224€ 180,Precio original € 224. Precio actual € 180.,Incluye impuestos y cargos,Ver disponibilidad,,,,
Sercotel Gran Hotel Conde Duque,Se abre en una ventana nueva,"Chamberí, MadridMostrar en el mapaa 1,6 km del centroCerca del metro","8,4",Muy bien,3.767 comentarios,Oferta Escapada,Habitación Doble,1 cama doble,Cancelación gratis,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 253€ 202,Precio original € 253. Precio actual € 202.,Incluye impuestos y cargos,Ver disponibilidad,,,,,
Sercotel Madrid Aeropuerto,Se abre en una ventana nueva,"Barajas, MadridMostrar en el mapaa 11,2 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,5",Muy bien,3.972 comentarios,Habitación (1 o 2 adultos) - 1 o 2 camas,Varios tipos de camas,"1 noche, 2 adultos",€ 195€ 175,Precio original € 195. Precio actual € 175.,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,
Desayuno incluido,Petit Palace Arturo Soria Alcalá,Se abre en una ventana nueva,"Ciudad Lineal, MadridMostrar en el mapaa 6 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,6",Fabuloso,421 comentarios,Habitación (1 o 2 adultos) - 1 o 2 camas,Camas: 1 doble o 2 individuales,Desayuno incluido,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 2 habitaciones a este precio en nuestra web,"1 noche, 2 adultos",€ 244,Precio € 244,Incluye impuestos y cargos,Ver disponibilidad,,
Espahotel Plaza Basílica,Se abre en una ventana nueva,"Tetuán, MadridMostrar en el mapaa 3,7 km del centroCerca del metro","8,2",Muy bien,1.031 comentarios,Estudio (2 adultos),Estudio entero • 1 baño • 1 cocina • 20m²,1 cama doble,Cancelación gratis,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 194,Precio € 194,Incluye impuestos y cargos,Ver disponibilidad,,,,,
SabiaNatura - boutiqueMadrid,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 400 m del centroCerca del metro",Nivel 3 del programa de Viajes sostenibles,"7,9",Bien,88 comentarios,Nuevo en Booking.com,Habitación Doble,1 cama doble grande,Cancelación gratis,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo queda 1 habitación a este precio en nuestra web,"1 noche, 2 adultos",€ 252,Precio € 252,Incluye impuestos y cargos,Ver disponibilidad,,,
Zenit Conde de Orgaz,Se abre en una ventana nueva,"Hortaleza, MadridMostrar en el mapaa 6,5 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,5",Muy bien,2.141 comentarios,Habitación Doble - 2 camas,2 camas individuales,Cancelación gratis,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo queda 1 habitación a este precio en nuestra web,"1 noche, 2 adultos",€ 179,Precio € 179,Incluye impuestos y cargos,Ver disponibilidad,,,,
Wellington Hotel & Spa Madrid,Se abre en una ventana nueva,"Salamanca, MadridMostrar en el mapaa 1,7 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,9",Fabuloso,1.280 comentarios,"Ubicación 9,7",Habitación Executive - 2 camas,2 camas individuales,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 375,Precio € 375,Incluye impuestos y cargos,Ver disponibilidad,,,,
L&H Gran Vía Selection,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,5 km del centroCerca del metro","9,0",Fantástico,973 comentarios,"Ubicación 9,7",Habitación Doble Superior,1 cama doble,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo queda 1 habitación a este precio en nuestra web,"1 noche, 2 adultos",€ 276,Precio € 276,Incluye impuestos y cargos,Ver disponibilidad,,,,
7 Islas Hotel,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,5 km del centroCerca del metro","9,0",Fantástico,3.872 comentarios,"Ubicación 9,7",Habitación Doble - 1 o 2 camas,2 camas individuales,Cancelación gratis,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 2 habitaciones a este precio en nuestra web,"1 noche, 2 adultos",€ 254,Precio € 254,Incluye impuestos y cargos,Ver disponibilidad,,,,
Eurostars Plaza Mayor,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 400 m del centroCerca del metro",Nivel 3 del programa de Viajes sostenibles,"8,5",Muy bien,1.831 comentarios,Habitación Doble - 1 o 2 camas,Varios tipos de camas,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 254,Precio € 254,Incluye impuestos y cargos,Ver disponibilidad,,,,,
Exe Zarzuela Park,Se abre en una ventana nueva,"Moncloa - Aravaca, MadridMostrar en el mapaa 7,9 km del centro",Nivel 3 del programa de Viajes sostenibles,"8,2",Muy bien,2.461 comentarios,Oferta Escapada,Habitación Doble - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 315€ 189,Precio original € 315. Precio actual € 189.,Incluye impuestos y cargos,Ver disponibilidad,,,,
Ibis Madrid Aeropuerto Barajas,Se abre en una ventana nueva,"Barajas, MadridMostrar en el mapaa 12 km del centro",Nivel 1 del programa de Viajes sostenibles,"8,1",Muy bien,6.610 comentarios,Habitación Doble Superior,1 cama doble,"1 noche, 2 adultos",€ 175,Precio € 175,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,
Sercotel Gran Hotel Conde Duque,Se abre en una ventana nueva,"Chamberí, MadridMostrar en el mapaa 1,6 km del centroCerca del metro","8,4",Muy bien,3.767 comentarios,Oferta Escapada,Habitación Doble,1 cama doble,Cancelación gratis,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 253€ 202,Precio original € 253. Precio actual € 202.,Incluye impuestos y cargos,Ver disponibilidad,,,,,
UMusic Hotel Madrid,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 150 m del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,8",Fabuloso,914 comentarios,"Ubicación 9,5",Habitación Deluxe,1 cama doble grande,"1 noche, 2 adultos",€ 315,Precio € 315,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
"URSO Hotel & Spa, a Small Luxury Hotel of the World",Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 1,2 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"9,1",Fantástico,693 comentarios,"Ubicación 9,4",Habitación Doble - 1 o 2 camas,Varios tipos de camas,Desayuno incluido,"1 noche, 2 adultos",€ 407,Precio € 407,Incluye impuestos y cargos,Ver disponibilidad,,,,,
Petit Palace Lealtad Plaza,Se abre en una ventana nueva,"Retiro, MadridMostrar en el mapaa 1,1 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,6",Fabuloso,2.033 comentarios,"Ubicación 9,5",Oferta Escapada,Habitación Doble interior - 1 o 2 camas,Camas: 1 doble o 2 individuales,"1 noche, 2 adultos",€ 300€ 240,Precio original € 300. Precio actual € 240.,Incluye impuestos y cargos,Ver disponibilidad,,,,,
H10 Tribeca,Se abre en una ventana nueva,"Tetuán, MadridMostrar en el mapaa 4,3 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,7",Fabuloso,3.367 comentarios,Habitación Doble Deluxe - 1 o 2 camas,Camas: 1 doble o 2 individuales,Desayuno incluido,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 231,Precio € 231,Incluye impuestos y cargos,Ver disponibilidad,,,,
Catalonia Atocha,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,7 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,7",Fabuloso,4.214 comentarios,"Ubicación 9,3",Habitación Doble - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 350,Precio € 350,Incluye impuestos y cargos,Ver disponibilidad,,,,
Hotel Mexico,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 1 km del centroCerca del metro","7,7",Bien,2.667 comentarios,Habitación Doble Estándar,1 cama doble,Solo quedan 5 habitaciones a este precio en nuestra web,"1 noche, 2 adultos",€ 180,Precio € 180,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,
The Social Hub Madrid,Se abre en una ventana nueva,"Moncloa - Aravaca, MadridMostrar en el mapaa 1,2 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,7",Fabuloso,988 comentarios,Habitación Estándar - Cama extragrande,1 cama doble extragrande,"1 noche, 2 adultos",€ 200,Precio € 200,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,
NH Madrid Atocha,Se abre en una ventana nueva,"Retiro, MadridMostrar en el mapaa 1,5 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,1",Muy bien,2.118 comentarios,Habitación Doble Estándar - 1 o 2 camas,Camas: 1 doble o 2 individuales,"1 noche, 2 adultos",€ 248,Precio € 248,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,
Espahotel Plaza Basílica,Se abre en una ventana nueva,"Tetuán, MadridMostrar en el mapaa 3,7 km del centroCerca del metro","8,2",Muy bien,1.031 comentarios,Estudio (2 adultos),Estudio entero • 1 baño • 1 cocina • 20m²,1 cama doble,Cancelación gratis,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 194,Precio € 194,Incluye impuestos y cargos,Ver disponibilidad,,,,,
NH Madrid Lagasca,Se abre en una ventana nueva,"Salamanca, MadridMostrar en el mapaa 2 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,1",Muy bien,1.239 comentarios,"Ubicación 9,6",Habitación Doble Estándar - 1 o 2 camas,Camas: 1 doble o 2 individuales,Solo queda 1 habitación a este precio en nuestra web,"1 noche, 2 adultos",€ 213,Precio € 213,Incluye impuestos y cargos,Ver disponibilidad,,,,,
"Hotel Madrid Atocha, Affiliated by Meliá",Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,8 km del centroCerca del metro","8,2",Muy bien,1.645 comentarios,Habitación Doble - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 2 habitaciones a este precio en nuestra web,"1 noche, 2 adultos",€ 250,Precio € 250,Incluye impuestos y cargos,Ver disponibilidad,,,,,
Eurostars Plaza Mayor,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 400 m del centroCerca del metro",Nivel 3 del programa de Viajes sostenibles,"8,5",Muy bien,1.831 comentarios,Habitación Doble - 1 o 2 camas,Varios tipos de camas,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 254,Precio € 254,Incluye impuestos y cargos,Ver disponibilidad,,,,,
"Hotel Urban,a Member of Design Hotels",Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 400 m del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,8",Fabuloso,1.404 comentarios,"Ubicación 9,7",Habitación Doble Superior (1-2 adultos) - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación gratis,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 298,Precio € 298,Incluye impuestos y cargos,Ver disponibilidad,,,,
One Shot Luchana 22,Se abre en una ventana nueva,"Chamberí, MadridMostrar en el mapaa 1,5 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,0",Muy bien,1.077 comentarios,Habitación Doble Estándar - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 2 habitaciones a este precio en nuestra web,"1 noche, 2 adultos",€ 219,Precio € 219,Incluye impuestos y cargos,Ver disponibilidad,,,,
Desayuno incluido,Melia Madrid Serrano,Se abre en una ventana nueva,"Salamanca, MadridMostrar en el mapaa 2,6 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,4",Muy bien,1.880 comentarios,Habitación Doble Supreme,Camas: 1 doble o 2 individuales,Desayuno incluido,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 429,Precio € 429,Incluye impuestos y cargos,Ver disponibilidad,,,
Hotel Fenix Gran Meliá - The Leading Hotels of the World,Se abre en una ventana nueva,"Salamanca, MadridMostrar en el mapaa 1,6 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,8",Fabuloso,479 comentarios,"Ubicación 9,7",Habitación Doble Clásica,1 cama doble,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo queda 1 habitación a este precio en nuestra web,"1 noche, 2 adultos",€ 360,Precio € 360,Incluye impuestos y cargos,Ver disponibilidad,,,
Canopy by Hilton Madrid Castellana,Se abre en una ventana nueva,"Tetuán, MadridMostrar en el mapaa 3,9 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,7",Fabuloso,1.231 comentarios,Habitación Doble - 2 camas dobles,2 camas dobles,"1 noche, 2 adultos",€ 181,Precio € 181,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,
Hotel Serrano by Silken,Se abre en una ventana nueva,"Salamanca, MadridMostrar en el mapaa 2,1 km del centroCerca del metro","8,6",Fabuloso,1.503 comentarios,"Ubicación 9,4",Habitación Doble - 1 o 2 camas,Camas: 1 doble o 2 individuales,"1 noche, 2 adultos",€ 181,Precio € 181,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,
Senator Barajas,Se abre en una ventana nueva,"Barajas, MadridMostrar en el mapaa 11,3 km del centroCerca del metro",Nivel 3 del programa de Viajes sostenibles,"7,7",Bien,5.955 comentarios,Habitación Doble - 1 cama extragrande,1 cama doble grande,"1 noche, 2 adultos",€ 185€ 166,Precio original € 185. Precio actual € 166.,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,
NH Barajas Airport,Se abre en una ventana nueva,"Barajas, MadridMostrar en el mapaa 10 km del centroCerca del metro",Nivel 3 del programa de Viajes sostenibles,"8,4",Muy bien,4.658 comentarios,Habitación Doble Estándar - 1 o 2 camas,Camas: 1 doble o 2 individuales,"1 noche, 2 adultos",€ 210,Precio € 210,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,
Room Mate Macarena – Gran Vía,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,5 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,9",Fabuloso,4.292 comentarios,"Ubicación 9,8",Habitación Doble Estándar - 1 o 2 camas,Camas: 1 doble o 2 individuales,"1 noche, 2 adultos",€ 269,Precio € 269,Incluye impuestos y cargos,Ver disponibilidad,,,,,,
UVE Marcenado,Se abre en una ventana nueva,"Chamartín, MadridMostrar en el mapaa 4,1 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"9,2",Fantástico,2.497 comentarios,Habitación con cama extragrande.,1 cama doble extragrande,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 5 habitaciones a este precio en nuestra web,"1 noche, 2 adultos",€ 194,Precio € 194,Incluye impuestos y cargos,Ver disponibilidad,,,,
Pestana Plaza Mayor Madrid,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 400 m del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"9,0",Fantástico,3.864 comentarios,"Ubicación 9,8",Habitación Estándar,1 cama doble grande,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 6 habitaciones a este precio en nuestra web,"1 noche, 2 adultos",€ 337,Precio € 337,Incluye impuestos y cargos,Ver disponibilidad,,,
Ilunion Alcalá Norte,Se abre en una ventana nueva,"San Blas, MadridMostrar en el mapaa 7,3 km del centro",Nivel 3 del programa de Viajes sostenibles,"8,6",Fabuloso,11.145 comentarios,Oferta Escapada,Habitación Doble - 1 o 2 camas,Varios tipos de camas,Cancelación gratis,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 343€ 275,Precio original € 343. Precio actual € 275.,Incluye impuestos y cargos,Ver disponibilidad,,,,
Hotel Nuevo Madrid,Se abre en una ventana nueva,"Ciudad Lineal, MadridMostrar en el mapaa 6,6 km del centro","8,2",Muy bien,9.073 comentarios,Habitación Doble - 1 o 2 camas,Camas: 1 doble o 2 individuales,"1 noche, 2 adultos",€ 198,Precio € 198,Incluye impuestos y cargos,Ver disponibilidad,,,,,,,,
H10 Tribeca,Se abre en una ventana nueva,"Tetuán, MadridMostrar en el mapaa 4,3 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,7",Fabuloso,3.367 comentarios,Habitación Doble Deluxe - 1 o 2 camas,Camas: 1 doble o 2 individuales,Desayuno incluido,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 231,Precio € 231,Incluye impuestos y cargos,Ver disponibilidad,,,,
Catalonia Atocha,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,7 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"8,7",Fabuloso,4.214 comentarios,"Ubicación 9,3",Habitación Doble - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 350,Precio € 350,Incluye impuestos y cargos,Ver disponibilidad,,,,
Exe Madrid Norte,Se abre en una ventana nueva,"Hortaleza, MadridMostrar en el mapaa 8,9 km del centro",Nivel 3 del programa de Viajes sostenibles,"8,4",Muy bien,2.589 comentarios,Habitación Doble (1 adulto),1 cama doble grande,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 271,Precio € 271,Incluye impuestos y cargos,Ver disponibilidad,,,,,
UVE Marcenado,Se abre en una ventana nueva,"Chamartín, MadridMostrar en el mapaa 4,1 km del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"9,2",Fantástico,2.497 comentarios,Habitación con cama extragrande.,1 cama doble extragrande,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo quedan 5 habitaciones a este precio en nuestra web,"1 noche, 2 adultos",€ 194,Precio € 194,Incluye impuestos y cargos,Ver disponibilidad,,,,
NH Madrid Lagasca,Se abre en una ventana nueva,"Salamanca, MadridMostrar en el mapaa 2 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,1",Muy bien,1.239 comentarios,"Ubicación 9,6",Habitación Doble Estándar - 1 o 2 camas,Camas: 1 doble o 2 individuales,Solo queda 1 habitación a este precio en nuestra web,"1 noche, 2 adultos",€ 213,Precio € 213,Incluye impuestos y cargos,Ver disponibilidad,,,,,
Boutique Hotel H10 Villa de la Reina,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 450 m del centroCerca del metro",Nivel 3 del programa de Viajes sostenibles,"8,5",Muy bien,1.349 comentarios,"Ubicación 9,7",Habitación Doble Básica,1 cama doble,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo queda 1 habitación a este precio en nuestra web,"1 noche, 2 adultos",€ 225,Precio € 225,Incluye impuestos y cargos,Ver disponibilidad,,,
Catalonia Las Cortes,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 450 m del centroCerca del metro",Nivel 1 del programa de Viajes sostenibles,"9,2",Fantástico,1.406 comentarios,"Ubicación 9,8",Habitación Doble - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 350,Precio € 350,Incluye impuestos y cargos,Ver disponibilidad,,,,
Silken Puerta Madrid,Se abre en una ventana nueva,"San Blas, MadridMostrar en el mapaa 6,7 km del centro",Nivel 1 del programa de Viajes sostenibles,"8,5",Muy bien,3.050 comentarios,Habitación Doble Confort - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 179,Precio € 179,Incluye impuestos y cargos,Ver disponibilidad,,,,,
Pestana CR7 Gran Vía Madrid,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 350 m del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,7",Fabuloso,5.984 comentarios,"Ubicación 9,8",Doble Estándar,2 camas individuales,Cancelación gratis,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 304,Precio € 304,Incluye impuestos y cargos,Ver disponibilidad,,,,
Desayuno incluido,NH Collection Madrid Abascal,Se abre en una ventana nueva,"Chamberí, MadridMostrar en el mapaa 2,5 km del centroCerca del metro",Nivel 3 del programa de Viajes sostenibles,"8,7",Fabuloso,2.171 comentarios,Habitación Doble Superior con vistas - 1 o 2 camas,Camas: 1 doble o 2 individuales,Desayuno incluido,"1 noche, 2 adultos",€ 256,Precio € 256,Incluye impuestos y cargos,Ver disponibilidad,,,,,
Petit Palace Santa Bárbara,Se abre en una ventana nueva,Promocionado,Este establecimiento paga un poco más para promocionarse en nuestra página. Cumple con tus criterios de búsqueda y es una muy buena opción.,"Centro de Madrid, MadridMostrar en el mapaa 1,2 km del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,7",Fabuloso,3.203 comentarios,"Ubicación 9,5",Oferta Escapada,Habitación Triple,Varios tipos de camas,Solo quedan 5 habitaciones a este precio en nuestra web,"1 noche, 2 adultos",€ 261€ 209,Precio original € 261. Precio actual € 209.,Incluye impuestos y cargos,Ver disponibilidad,,
Petit Palace Triball,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 400 m del centroCerca del metro",Nivel 2 del programa de Viajes sostenibles,"8,8",Fabuloso,2.925 comentarios,"Ubicación 9,8",Habitación Doble - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 280,Precio € 280,Incluye impuestos y cargos,Ver disponibilidad,,,,
Hotel Europa,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 100 m del centroCerca del metro","8,6",Fabuloso,2.647 comentarios,"Ubicación 9,7",Habitación Doble - 1 o 2 camas,Camas: 1 doble o 2 individuales,Cancelación gratis,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,Solo queda 1 habitación a este precio en nuestra web,"1 noche, 2 adultos",€ 215,Precio € 215,Incluye impuestos y cargos,Ver disponibilidad,,,,
Eurostars Madrid Gran Vía,Se abre en una ventana nueva,"Centro de Madrid, MadridMostrar en el mapaa 0,7 km del centroCerca del metro",Nivel 3 del programa de Viajes sostenibles,"8,7",Fabuloso,2.119 comentarios,Habitación Doble,Camas: 1 doble o 2 individuales,Cancelación GRATIS • Sin pago por adelantado,Puedes cancelar más tarde. Aprovecha y consigue un buen precio hoy.,"1 noche, 2 adultos",€ 300,Precio € 300,Incluye impuestos y cargos,Ver disponibilidad,,,,,
